backbone_id,length,ss_bias,seed,scrmsd,plddt,tm_to_pdb,synthetic,tool_gen,tool_fold,tool_nov
EXAMPLE_DATA_beta_L200_005,200,beta,0,3.55,63.4,0.706,True,mock,mock,mock
EXAMPLE_DATA_beta_L200_006,200,beta,0,2.87,71.8,0.735,True,mock,mock,mock
EXAMPLE_DATA_beta_L200_007,200,beta,0,3.1,69.0,0.734,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_000,200,mixed,0,2.21,77.9,0.691,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_001,200,mixed,0,2.37,76.0,0.425,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_002,200,mixed,0,1.94,81.3,0.664,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_003,200,mixed,0,2.53,74.0,0.555,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_004,200,mixed,0,2.3,76.8,0.767,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_005,200,mixed,0,2.5,74.4,0.332,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_006,200,mixed,0,2.79,70.8,0.37,True,mock,mock,mock
EXAMPLE_DATA_mixed_L200_007,200,mixed,0,1.91,81.6,0.241,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_000,300,alpha,0,2.75,71.7,0.629,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_001,300,alpha,0,3.11,67.3,0.721,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_002,300,alpha,0,3.12,67.2,0.734,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_003,300,alpha,0,3.17,66.6,0.776,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_004,300,alpha,0,2.39,76.2,0.727,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_005,300,alpha,0,2.83,70.8,0.688,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_006,300,alpha,0,2.62,73.4,0.715,True,mock,mock,mock
EXAMPLE_DATA_alpha_L300_007,300,alpha,0,2.83,70.8,0.295,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_000,300,beta,0,3.8,62.5,0.383,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_001,300,beta,0,3.86,61.7,0.631,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_002,300,beta,0,4.27,56.7,0.775,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_003,300,beta,0,3.94,60.8,0.496,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_004,300,beta,0,3.19,70.0,0.673,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_005,300,beta,0,4.05,59.4,0.59,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_006,300,beta,0,3.46,66.7,0.299,True,mock,mock,mock
EXAMPLE_DATA_beta_L300_007,300,beta,0,3.89,61.3,0.662,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_000,300,mixed,0,3.58,63.2,0.498,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_001,300,mixed,0,2.73,73.7,0.394,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_002,300,mixed,0,2.66,74.5,0.737,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_003,300,mixed,0,2.69,74.2,0.555,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_004,300,mixed,0,3.09,69.2,0.695,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_005,300,mixed,0,2.79,72.9,0.642,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_006,300,mixed,0,3.27,67.0,0.245,True,mock,mock,mock
EXAMPLE_DATA_mixed_L300_007,300,mixed,0,3.7,61.7,0.599,True,mock,mock,mock
