design_id,sequence,design_type,designed_pdb,predicted_pdb,plddt,plddt_catalytic,pae_interaction,scrmsd,scrmsd_orthogonal,tm_to_pdb,solubility,rosetta_dG,shape_complementarity,md_rmsd,catalytic_geom_rmsd,extra,layers_passed,score,notes
EXAMPLE_DATA_mixed_L80_001,,monomer,,,86.1,,,1.34,,0.404,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",1,2.271,[]
EXAMPLE_DATA_alpha_L200_006,,monomer,,,86.0,,,1.42,,0.244,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",1,2.19,[]
EXAMPLE_DATA_alpha_L200_005,,monomer,,,85.8,,,1.44,,0.666,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",1,2.168,[]
EXAMPLE_DATA_mixed_L120_002,,monomer,,,85.0,,,1.5,,0.524,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",1,2.1,[]
EXAMPLE_DATA_alpha_L120_001,,monomer,,,84.6,,,1.4,,0.652,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",0,1.946,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L80_001,,monomer,,,82.4,,,1.51,,0.56,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",0,1.814,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L120_001,,monomer,,,84.4,,,1.55,,0.765,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",0,1.794,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L80_006,,monomer,,,80.9,,,1.63,,0.458,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",0,1.679,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L120_003,,monomer,,,81.0,,,1.69,,0.295,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",0,1.62,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L80_000,,monomer,,,80.2,,,1.69,,0.506,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",0,1.612,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L80_006,,monomer,,,81.6,,,1.71,,0.711,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",0,1.606,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L120_000,,monomer,,,82.3,,,1.72,,0.704,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",0,1.603,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L80_000,,monomer,,,81.5,,,1.72,,0.716,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",0,1.595,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L80_005,,monomer,,,81.2,,,1.74,,0.735,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",0,1.572,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L80_002,,monomer,,,81.0,,,1.76,,0.748,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",0,1.55,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L120_007,,monomer,,,81.0,,,1.83,,0.594,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",0,1.48,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L120_005,,monomer,,,79.3,,,1.83,,0.215,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",0,1.463,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L200_004,,monomer,,,80.4,,,1.88,,0.43,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",0,1.424,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L120_004,,monomer,,,78.7,,,1.88,,0.254,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",0,1.407,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_007,,monomer,,,81.6,,,1.91,,0.241,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,1.406,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_002,,monomer,,,81.3,,,1.94,,0.664,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,1.373,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L200_001,,monomer,,,79.4,,,1.96,,0.498,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",0,1.334,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L200_003,,monomer,,,79.4,,,1.96,,0.501,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",0,1.334,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_005,,monomer,,,81.1,,,1.98,,0.42,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,1.331,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_007,,monomer,,,81.1,,,1.98,,0.423,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,1.331,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_003,,monomer,,,80.0,,,2.0,,0.451,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,1.3,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L80_007,,monomer,,,77.6,,,2.03,,0.778,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",0,1.246,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L120_003,,monomer,,,78.2,,,2.05,,0.382,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",0,1.232,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_006,,monomer,,,78.5,,,2.12,,0.552,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,1.165,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L200_002,,monomer,,,77.5,,,2.11,,0.226,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",0,1.165,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L200_007,,monomer,,,76.5,,,2.19,,0.486,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",0,1.075,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_000,,monomer,,,77.9,,,2.21,,0.691,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,1.069,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_000,,monomer,,,77.4,,,2.21,,0.629,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,1.064,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_004,,monomer,,,77.4,,,2.21,,0.428,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,1.064,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_004,,monomer,,,76.8,,,2.3,,0.767,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,0.968,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L80_004,,monomer,,,74.5,,,2.28,,0.385,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",0,0.965,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L120_005,,monomer,,,75.3,,,2.29,,0.379,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",0,0.963,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_002,,monomer,,,76.0,,,2.32,,0.518,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,0.94,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_001,,monomer,,,76.0,,,2.37,,0.425,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,0.89,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_004,,monomer,,,76.2,,,2.39,,0.727,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.872,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L120_006,,monomer,,,73.8,,,2.41,,0.279,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",0,0.828,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_005,,monomer,,,74.6,,,2.44,,0.413,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,0.806,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L200_000,,monomer,,,73.6,,,2.43,,0.285,,,,,,"{'length': 200, 'ss_bias': 'alpha', 'synthetic': True}",0,0.806,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_001,,monomer,,,74.5,,,2.45,,0.621,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,0.795,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L120_004,,monomer,,,73.3,,,2.45,,0.711,,,,,,"{'length': 120, 'ss_bias': 'mixed', 'synthetic': True}",0,0.783,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_002,,monomer,,,74.5,,,2.66,,0.737,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.745,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_003,,monomer,,,74.4,,,2.66,,0.367,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.744,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_005,,monomer,,,74.4,,,2.5,,0.332,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,0.744,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_004,,monomer,,,74.2,,,2.68,,0.781,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.742,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_003,,monomer,,,74.2,,,2.69,,0.555,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.742,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_003,,monomer,,,74.0,,,2.53,,0.555,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,0.74,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_001,,monomer,,,73.7,,,2.73,,0.394,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.737,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_006,,monomer,,,73.4,,,2.62,,0.715,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.734,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_001,,monomer,,,73.2,,,2.76,,0.446,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.732,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_005,,monomer,,,72.9,,,2.79,,0.642,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.729,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L80_007,,monomer,,,72.7,,,2.59,,0.541,,,,,,"{'length': 80, 'ss_bias': 'beta', 'synthetic': True}",0,0.727,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_003,,monomer,,,72.0,,,2.72,,0.434,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,0.72,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_004,,monomer,,,72.0,,,2.72,,0.637,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,0.72,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_006,,monomer,,,71.8,,,2.87,,0.735,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.718,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_000,,monomer,,,71.7,,,2.75,,0.629,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.717,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_001,,monomer,,,71.5,,,2.76,,0.469,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,0.715,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_000,,monomer,,,71.1,,,2.79,,0.694,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,0.711,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L200_006,,monomer,,,70.8,,,2.79,,0.37,,,,,,"{'length': 200, 'ss_bias': 'mixed', 'synthetic': True}",0,0.708,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_005,,monomer,,,70.8,,,2.83,,0.688,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.708,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_007,,monomer,,,70.8,,,2.83,,0.295,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.708,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_004,,monomer,,,70.0,,,3.19,,0.673,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.7,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_004,,monomer,,,69.2,,,3.09,,0.695,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.692,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_007,,monomer,,,69.0,,,3.1,,0.734,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.69,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_002,,monomer,,,67.9,,,3.05,,0.71,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,0.679,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_001,,monomer,,,67.3,,,3.11,,0.721,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.673,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_002,,monomer,,,67.2,,,3.12,,0.734,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.672,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_006,,monomer,,,67.0,,,3.27,,0.245,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.67,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L120_006,,monomer,,,66.9,,,3.13,,0.38,,,,,,"{'length': 120, 'ss_bias': 'beta', 'synthetic': True}",0,0.669,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_006,,monomer,,,66.7,,,3.46,,0.299,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.667,['failed L1 self-consistency']
EXAMPLE_DATA_alpha_L300_003,,monomer,,,66.6,,,3.17,,0.776,,,,,,"{'length': 300, 'ss_bias': 'alpha', 'synthetic': True}",0,0.666,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_000,,monomer,,,66.3,,,3.32,,0.512,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.663,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_002,,monomer,,,66.3,,,3.32,,0.316,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.663,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L200_005,,monomer,,,63.4,,,3.55,,0.706,,,,,,"{'length': 200, 'ss_bias': 'beta', 'synthetic': True}",0,0.634,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_000,,monomer,,,63.2,,,3.58,,0.498,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.632,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_000,,monomer,,,62.5,,,3.8,,0.383,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.625,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_001,,monomer,,,61.7,,,3.86,,0.631,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.617,['failed L1 self-consistency']
EXAMPLE_DATA_mixed_L300_007,,monomer,,,61.7,,,3.7,,0.599,,,,,,"{'length': 300, 'ss_bias': 'mixed', 'synthetic': True}",0,0.617,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_007,,monomer,,,61.3,,,3.89,,0.662,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.613,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_003,,monomer,,,60.8,,,3.94,,0.496,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.608,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_005,,monomer,,,59.4,,,4.05,,0.59,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.594,['failed L1 self-consistency']
EXAMPLE_DATA_beta_L300_002,,monomer,,,56.7,,,4.27,,0.775,,,,,,"{'length': 300, 'ss_bias': 'beta', 'synthetic': True}",0,0.567,['failed L1 self-consistency']
